angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.07,"[821, 186, 294, 372]",0.0,0.17,0.0,0.21,0.39,0.16
0.07,"[821, 186, 295, 373]",0.0,0.22,0.0,0.13,0.43,0.16
0.06,"[821, 187, 295, 373]",0.0,0.19,0.0,0.15,0.4,0.19
0.06,"[821, 187, 294, 371]",0.0,0.18,0.0,0.3,0.32,0.15
0.06,"[822, 187, 294, 371]",0.0,0.22,0.0,0.13,0.42,0.17
0.06,"[822, 187, 293, 370]",0.0,0.24,0.0,0.14,0.41,0.15
0.05,"[821, 187, 295, 371]",0.0,0.23,0.0,0.4,0.23,0.08
0.04,"[822, 187, 294, 371]",0.0,0.21,0.0,0.41,0.24,0.09
0.05,"[822, 187, 293, 371]",0.0,0.23,0.0,0.41,0.24,0.07
0.05,"[822, 187, 294, 371]",0.0,0.26,0.0,0.23,0.38,0.07
0.04,"[823, 188, 293, 369]",0.0,0.23,0.0,0.36,0.24,0.12
0.05,"[823, 187, 293, 370]",0.0,0.29,0.0,0.23,0.32,0.11
0.14,"[824, 187, 292, 370]",0.0,0.13,0.0,0.18,0.51,0.03
0.15,"[824, 187, 292, 370]",0.0,0.13,0.0,0.18,0.51,0.03
0.05,"[823, 187, 293, 369]",0.0,0.21,0.0,0.19,0.48,0.07
0.07,"[824, 186, 293, 370]",0.0,0.23,0.0,0.17,0.48,0.05
0.08,"[824, 186, 293, 370]",0.0,0.19,0.0,0.2,0.4,0.14
0.08,"[824, 186, 293, 370]",0.0,0.19,0.0,0.2,0.4,0.13
0.07,"[824, 187, 293, 369]",0.0,0.18,0.0,0.19,0.37,0.19
0.03,"[848, 202, 277, 347]",0.0,0.2,0.0,0.44,0.26,0.07
0.03,"[848, 202, 277, 347]",0.0,0.2,0.0,0.44,0.27,0.06
0.03,"[848, 202, 277, 348]",0.0,0.21,0.0,0.42,0.26,0.08
0.02,"[847, 203, 278, 348]",0.0,0.17,0.0,0.46,0.27,0.07
